82,0,22,0,0,0,0,0,END,0,0,0,0
83,0,23,0,0,0,1,2,LEVEL3,1,2,1.20764,-1.1518
84,0,23,0,0,0,0,0,END,0,0,0,0
85,0,24,0,1,0,1,2,LEVEL4,2,3,0.714465,-0.438855
86,0,24,1,1,0,3,4,LEVEL4,2,1,-0.116954,0.89906
87,0,24,0,0,0,0,0,END,0,0,0,0
88,0,25,0,0,0,1,2,LEVEL5,3,2,1.06348,-0.399798
89,0,25,2,0,0,3,4,LEVEL5,0,1,-0.896628,-1.06243
90,0,25,0,0,0,0,0,END,0,0,0,0
91,0,26,0,1,0,1,2,LEVEL6,2,1,-0.710165,2.64797
92,0,26,1,0,0,3,4,LEVEL6,2,0,-67.6288,23.2858
93,0,26,0,0,0,0,0,END,0,0,0,0
94,0,28,0,0,0,1,2,LEVEL1,0,3,0.927916,4.05603
95,0,28,0,0,0,0,0,END,0,0,0,0
96,0,29,0,1,0,1,2,LEVEL2,0,3,-0.369279,3.35329
97,0,29,1,1,0,3,4,LEVEL2,1,3,-0.35193,2.54338
98,0,29,3,0,1,5,6,LEVEL2,2,0,-0.831771,-0.877535
99,0,29,0,0,0,0,0,END,0,0,0,0
100,0,30,0,1,0,1,2,LEVEL3,0,3,0.764435,0.722036
101,0,30,2,0,0,3,4,LEVEL3,2,1,0.819016,0.569219
102,0,30,0,0,0,0,0,END,0,0,0,0
103,0,31,0,1,0,1,2,LEVEL4,2,3,0.598295,1.19739
104,0,31,1,1,0,3,4,LEVEL4,1,3,-1.33277,-3.90218
105,0,31,0,0,0,0,0,END,0,0,0,0
106,0,32,0,0,0,1,2,LEVEL5,2,3,0.519072,0.069896
107,0,32,1,0,0,3,4,LEVEL5,0,1,-0.922223,-1.28788
108,0,32,0,0,0,0,0,END,0,0,0,0
109,0,33,0,1,0,1,2,LEVEL6,1,0,6.0382,-1.36017
110,0,33,2,1,0,3,4,LEVEL6,1,2,-0.634875,-3.27068
111,0,33,0,0,0,0,0,END,0,0,0,0
112,0,34,0,1,0,1,2,LEVEL7,3,2,0.316068,-0.272409
113,0,34,2,0,0,3,4,LEVEL7,0,1,0.0702314,-0.466093
114,0,34,0,0,0,0,0,END,0,0,0,0
115,0,44,0,0,0,1,2,LEVEL1,2,1,1.46764,0.464983
116,0,44,0,0,0,0,0,END,0,0,0,0
117,0,45,0,0,0,1,2,LEVEL2,0,1,1.62492,0.0171785
118,0,45,0,0,0,0,0,END,0,0,0,0
119,0,46,0,0,0,1,2,LEVEL3,2,0,-2.02762,0.698168
120,0,46,1,1,0,3,4,LEVEL3,0,2,-0.221168,-0.209825
121,0,46,4,1,1,5,6,LEVEL3,3,0,0.511825,-1.29016
122,0,46,6,0,4,7,8,LEVEL3,2,1,0.187822,1.20129
123,0,46,2,0,0,9,10,LEVEL3,1,2,5.79116,-7.72331
124,0,46,0,0,0,0,0,END,0,0,0,0
